Entity,Code,Day,new_vaccinations_smoothed_per_million
Italy,ITA,2020-12-28,0.0024000000000000002
Italy,ITA,2020-12-29,0.002
Italy,ITA,2020-12-30,0.0039000000000000003
Italy,ITA,2020-12-31,0.0135
Italy,ITA,2021-01-01,0.0145
Italy,ITA,2021-01-02,0.0227
Italy,ITA,2021-01-03,0.027700000000000002
Italy,ITA,2021-01-04,0.0436
Italy,ITA,2021-01-05,0.062200000000000005
Italy,ITA,2021-01-06,0.0765
Italy,ITA,2021-01-07,0.09230000000000001
Italy,ITA,2021-01-08,0.11230000000000001
Italy,ITA,2021-01-09,0.1237
Italy,ITA,2021-01-10,0.1297
Italy,ITA,2021-01-11,0.1325
Italy,ITA,2021-01-12,0.1331
Italy,ITA,2021-01-13,0.14
Italy,ITA,2021-01-14,0.1403
Italy,ITA,2021-01-15,0.1388
Italy,ITA,2021-01-16,0.1336
Italy,ITA,2021-01-17,0.128
Italy,ITA,2021-01-18,0.1192
Italy,ITA,2021-01-19,0.1075
Italy,ITA,2021-01-20,0.09240000000000001
Italy,ITA,2021-01-21,0.0786
Italy,ITA,2021-01-22,0.0637
Italy,ITA,2021-01-23,0.0575
Italy,ITA,2021-01-24,0.0567
Italy,ITA,2021-01-25,0.0627
Italy,ITA,2021-01-26,0.07390000000000001
Italy,ITA,2021-01-27,0.0834
Italy,ITA,2021-01-28,0.0971
Italy,ITA,2021-01-29,0.1139
Italy,ITA,2021-01-30,0.12610000000000002
Italy,ITA,2021-01-31,0.1322
Italy,ITA,2021-02-01,0.1361
Italy,ITA,2021-02-02,0.138
Italy,ITA,2021-02-03,0.1448
Italy,ITA,2021-02-04,0.14800000000000002
Italy,ITA,2021-02-05,0.1501
Italy,ITA,2021-02-06,0.14700000000000002
Italy,ITA,2021-02-07,0.1428
Italy,ITA,2021-02-08,0.1383
Italy,ITA,2021-02-09,0.1332
Italy,ITA,2021-02-10,0.1268
Italy,ITA,2021-02-11,0.11910000000000001
Italy,ITA,2021-02-12,0.11120000000000001
Italy,ITA,2021-02-13,0.10550000000000001
Italy,ITA,2021-02-14,0.10260000000000001
Italy,ITA,2021-02-15,0.1017
Italy,ITA,2021-02-16,0.1027
Italy,ITA,2021-02-17,0.10450000000000001
Italy,ITA,2021-02-18,0.108
Italy,ITA,2021-02-19,0.1125
Italy,ITA,2021-02-20,0.1184
Italy,ITA,2021-02-21,0.12350000000000001
Italy,ITA,2021-02-22,0.1336
Italy,ITA,2021-02-23,0.14200000000000002
Italy,ITA,2021-02-24,0.152
Italy,ITA,2021-02-25,0.16110000000000002
Italy,ITA,2021-02-26,0.1715
Italy,ITA,2021-02-27,0.183
Italy,ITA,2021-02-28,0.1894
Italy,ITA,2021-03-01,0.1965
Italy,ITA,2021-03-02,0.2092
Italy,ITA,2021-03-03,0.2242
Italy,ITA,2021-03-04,0.24000000000000002
Italy,ITA,2021-03-05,0.2558
Italy,ITA,2021-03-06,0.2675
Italy,ITA,2021-03-07,0.273
Italy,ITA,2021-03-08,0.2831
Italy,ITA,2021-03-09,0.2904
Italy,ITA,2021-03-10,0.29660000000000003
Italy,ITA,2021-03-11,0.30210000000000004
Italy,ITA,2021-03-12,0.3034
Italy,ITA,2021-03-13,0.3033
Italy,ITA,2021-03-14,0.3044
Italy,ITA,2021-03-15,0.30260000000000004
Italy,ITA,2021-03-16,0.29050000000000004
Italy,ITA,2021-03-17,0.2795
Italy,ITA,2021-03-18,0.26630000000000004
Italy,ITA,2021-03-19,0.25830000000000003
Italy,ITA,2021-03-20,0.2579
Italy,ITA,2021-03-21,0.2636
Italy,ITA,2021-03-22,0.2685
Italy,ITA,2021-03-23,0.2876
Italy,ITA,2021-03-24,0.3079
Italy,ITA,2021-03-25,0.3315
Italy,ITA,2021-03-26,0.3528
Italy,ITA,2021-03-27,0.3679
Italy,ITA,2021-03-28,0.3754
Italy,ITA,2021-03-29,0.3865
Italy,ITA,2021-03-30,0.39640000000000003
Italy,ITA,2021-03-31,0.4078
Italy,ITA,2021-04-01,0.41200000000000003
Italy,ITA,2021-04-02,0.41500000000000004
Italy,ITA,2021-04-03,0.4123
Italy,ITA,2021-04-04,0.39690000000000003
Italy,ITA,2021-04-05,0.38070000000000004
Italy,ITA,2021-04-06,0.38470000000000004
Italy,ITA,2021-04-07,0.3891
Italy,ITA,2021-04-08,0.3996
Italy,ITA,2021-04-09,0.4118
Italy,ITA,2021-04-10,0.43260000000000004
Italy,ITA,2021-04-11,0.4571
Italy,ITA,2021-04-12,0.4792
Italy,ITA,2021-04-13,0.4801
Italy,ITA,2021-04-14,0.47900000000000004
Italy,ITA,2021-04-15,0.4822
Italy,ITA,2021-04-16,0.4919
Italy,ITA,2021-04-17,0.49970000000000003
Italy,ITA,2021-04-18,0.5086
Italy,ITA,2021-04-19,0.5178
Italy,ITA,2021-04-20,0.5218
